symbol	mcap_cr	pe	pb	industry
LT	512794	29.1	5.1	Civil Construction
LTF	63975	22.8	2.4	Investment Company
LTFOODS	13336	20.5	3.2	Other Agricultural Products
LTM	127688	26.9	5.4	Computers - Software & Consulting
LTTS	35472	28.2	5.7	IT Enabled Services
LUPIN	104232	22.5	5.3	Pharmaceuticals
M&M	362735	21.6	4.1	Passenger Cars & Utility Vehicles
M&MFIN	39079	15.9	1.6	Non Banking Financial Company (NBFC)
MAHABANK	51218	7.9	1.5	Public Sector Bank
MAHSCOOTER	13502	37.7	0.4	Investment Company
MAHSEAMLES	7990	9.5	1.2	Iron & Steel Products
MANAPPURAM	24423	55.2	1.7	Non Banking Financial Company (NBFC)
MANKIND	83296	46.7	5.4	Pharmaceuticals
MANYAVAR	9197	25.4	5.3	Speciality Retail
MAPMYINDIA	4814	36.7	5.9	Software Products
MARICO	97221	56.6	24.0	Edible Oil
MARUTI	398914	26.7	4.0	Passenger Cars & Utility Vehicles
MATRIMONY	881	28.1	3.7	Unknown
MAXHEALTH	90657	64.0	9.1	Hospital
MAZDOCK	93330	38.7	10.5	Ship Building & Allied Services
MCX	64876	102.3	20.8	Exchange and Data Platform
MEDANTA	27755	54.1	7.5	Hospital
MEESHO	66914		45.2	Unknown
METROPOLIS	8931	53.4	6.2	Healthcare Service Provider
MFSL	51758	352.7	9.8	Life Insurance
MGL	9488	10.0	1.5	LPG/CNG/PNG/LNG Supplier
MINDACORP	11985	42.3	4.9	Auto Components & Equipments
MMTC	8457	32.0	4.4	Trading & Distributors
MOTHERSON	114262	33.4	3.1	Auto Components & Equipments
MOTILALOFS	42473	21.4	3.3	Stockbroking & Allied
MPHASIS	42618	23.7	4.2	Computers - Software & Consulting
MRF	53882	24.7	2.8	Tyres & Rubber Products
MRPL	31396	14.4	2.4	Refineries & Marketing
MSUMI	24378	39.1	13.2	Auto Components & Equipments
MTARTECH	11072	175.8	14.9	Unknown
MUTHOOTFIN	132150	15.2	3.7	Non Banking Financial Company (NBFC)
NAM-INDIA	53579	37.6	12.2	Asset Management Company
NATCOPHARM	18427	11.8	2.1	Pharmaceuticals
NATIONALUM	74990	12.2	3.8	Aluminium
NAUKRI	64381	47.9	1.3	Internet & Catalogue Retail
NAVA	15951	17.9	2.0	Power Generation
NAVINFLUOR	29991	54.2	8.3	Specialty Chemicals
NBCC	22772	34.9	8.5	Civil Construction
NCC	8905	12.3	1.2	Civil Construction
NESTLEIND	234483	71.9	52.9	Packaged Foods
NETWEB	18384	102.2	31.6	IT Enabled Services
NEULANDLAB	16981	95.0	10.5	Pharmaceuticals
NEWGEN	6235	21.0	6.6	Computers - Software & Consulting
NH	34241	44.1	8.4	Hospital
NHPC	76503	48.8	1.8	Power Generation
NIACL	20441	17.1	0.5	General Insurance
NIVABUPA	13520	inf	3.8	General Insurance
NLCINDIA	38133	14.3	1.8	Power Generation
NMDC	71565	10.4	2.2	Industrial Minerals
NSLNISP	10951		0.8	Iron & Steel
NTPC	354995	20.2	1.8	Power Generation
NTPCGREEN	82620	142.1	4.4	Power Generation
NUVAMA	21388	21.2	5.6	Stockbroking & Allied
NUVOCO	10594	27.6	1.2	Cement & Cement Products
NYKAA	72332	515.3	52.2	E-Retail/ E-Commerce
OBEROIRLTY	55272	24.7	3.3	Residential Commercial Projects
OFSS	61076	24.7	8.8	Software Products
OIL	76836	13.2	1.4	Oil Exploration & Production
OLAELEC	12254		3.0	2/3 Wheelers
OLECTRA	8472	59.5	7.5	Passenger Cars & Utility Vehicles
ONESOURCE	16204	769.5	2.7	Pharmaceuticals
ONGC	354575	9.3	1.0	Oil Exploration & Production
PAGEIND	38783	51.7	27.5	Garments & Apparels
PATANJALI	51390	31.1	4.2	Edible Oil
